Yaw,Roll,Pitch,ax,ay,az
247.0625,7.5625,11.4375,-0.16,2.91,-1.63
247.4375,7.375,11.4375,-0.06,2.86,-1.23
247.75,7.1875,11.3125,0.13,1.62,-0.24
248,7.1875,10.9375,-0.22,0.8,0.08
248.1875,7.1875,10.4375,-0.31,0.06,0.05
248.75,7.5,9.125,-0.39,-0.85,0.07
249.0625,7.625,8.5,-1.21,-1.47,0.77
249.125,7.6875,8.125,-0.82,-2.1,0.49
249.5625,7.8125,7.8125,-0.91,-1.91,0.4
249.9375,7.9375,7.8125,-1.22,-1.78,0.17
250.4375,8.125,7.9375,-1.81,-0.49,-0.35
251.625,8.5,8.4375,-1.98,0.32,-0.68
252.375,8.625,8.6875,-1.8,0.83,-0.62
253.0625,8.625,8.875,-1.43,0.79,-0.59
253.6875,8.5,9,-0.78,0.84,-0.76
254.375,8.375,9,-0.01,0.82,-0.64
254.9375,8.25,9,0,0.73,-0.42
255.5,8.25,8.9375,0.1,0.79,-0.45
256,8.3125,8.875,-1.01,0.33,-0.34
256.875,8.75,8.6875,-1.41,0,-0.36
257.1875,9,8.5,-1.77,-0.49,-0.4
257.6875,9.125,8.375,-2.16,-0.83,-0.33
258.1875,9.3125,8.1875,-2.13,-1.11,-0.34
258.8125,9.25,8.375,-1.85,-0.98,-0.32
259.4375,9.0625,8.75,-1.09,0.52,-0.05
260.0625,8.8125,9.25,-0.92,1.1,0
260.75,8.6875,9.75,-0.74,1.5,0
261.875,8.375,10.5,-0.48,1.68,-0.17
262.3125,8.25,10.6875,-0.66,1.82,0.15
262.6875,8.1875,10.6875,-0.77,1.6,0.38
263.0625,8.125,10.5,-0.91,1.18,0.7
263.3125,8.1875,10.25,-0.79,-0.21,0.72
263.625,8.1875,10.0625,-0.9,-1.1,0.54
264.4375,8.5,10.0625,-1.22,-1.18,0.47
264.9375,8.75,10.25,-2.07,-0.66,0.17
265.5,8.9375,10.5,-2.44,-0.33,0.09
266.125,8.9375,10.8125,-2.51,-0.15,-0.06
266.75,8.875,11.125,-2.25,0.09,-0.08
267.375,8.75,11.375,-1.49,0.52,0.04
268.0625,8.5625,11.6875,-0.84,1.16,0.53
268.75,8.5,11.875,-0.77,1.2,0.71
269.9375,8.5,11.8125,-0.63,0.86,1.02
270.4375,8.5625,11.8125,-0.56,0.4,1.08
271,8.75,11.75,-0.59,0.17,1.23
271.5,8.9375,11.6875,-1.01,-0.08,1.36
272.0625,9.25,11.75,-1.28,-0.13,1.31
272.6875,9.5625,11.75,-1.56,-0.2,0.81
273.3125,9.9375,11.875,-1.79,0.05,0.34
274,10.25,12,-1.92,0.25,0
275.4375,11,12.25,-2.14,0.47,-0.24
276.1875,11.25,12.375,-2.26,0.59,-0.35
276.875,11.375,12.5,-2.2,0.75,-0.21
277.5625,11.4375,12.625,-1.93,0.72,-0.06
278.3125,11.375,12.75,-1.5,0.69,0.03
279.0625,11.25,12.875,-0.24,1.02,0.45
280.5,11.3125,13.3125,0.05,1.1,0.39
281.1875,11.5,13.5,-0.04,1.17,0.25
281.8125,11.8125,13.6875,-0.58,1.17,-0.56
282.375,12.1875,13.9375,-1.11,1.2,-1
283,12.5625,14.1875,-2.27,1.42,-1.54
283.5625,12.875,14.375,-2.65,1.47,-1.66
284.1875,13,14.5,-2.23,1.31,-1.65
285.375,12.6875,14.625,-1.94,1.28,-1.16
286,12.3125,14.6875,-1.19,1.2,-0.78
286.6875,11.9375,14.6875,-0.15,1.12,0.19
287.3125,11.625,14.6875,0.26,1.07,0.47
287.9375,11.375,14.75,0.62,1.04,0.62
288.5,11.25,14.875,0.91,1.39,0.36
289.6875,11.3125,15.375,0.79,1.74,0.12
290.1875,11.4375,15.6875,0.75,2.02,-0.41
290.625,11.6875,16,0.15,2.4,-1.31
291,12,16.125,-0.51,2.41,-1.57
291.375,12.375,16.0625,-0.96,2.32,-1.93
291.625,12.625,15.9375,-1.94,1.24,-2.19
291.875,12.8125,15.6875,-1.98,0.85,-2.03
292.5,12.6875,14.9375,-2.01,0.59,-1.55
292.875,12.4375,14.625,-1.43,0.42,-1.16
293.3125,12.0625,14.25,-0.31,0.16,-0.18
293.75,11.75,13.9375,0.1,0.17,0.28
294.1875,11.5,13.6875,0.43,-0.03,0.41
294.5625,11.4375,13.4375,-0.12,-0.17,0.09
295,11.5625,13.3125,-0.68,-0.11,-0.28
295.875,12,13.3125,-1.43,0.24,-0.45
296.375,12.0625,13.4375,-1.95,0.82,-0.95
296.875,12,13.5,-1.93,1.1,-0.87
297.375,11.8125,13.4375,-1.55,1.31,-0.8
