Timestamp,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,magnet_x,magnet_y,magnet_z
42079,-0.02,-0.06,9.6,-0.0,0.0,0.0,73.25,10.5,34.0
42080,-0.02,-0.06,9.6,-0.0,0.0,0.0,73.25,10.5,34.0
42082,-0.02,-0.06,9.6,-0.0,0.0,0.0,73.25,10.5,34.0
42088,-0.04,-0.03,9.58,-0.0,0.0,0.0,73.25,10.5,34.0
42090,-0.04,-0.03,9.58,-0.0,0.0,0.0,73.25,10.5,34.0
42092,-0.04,-0.03,9.58,-0.0,0.0,0.0,73.25,10.5,34.0
42098,-0.03,0.11,9.6,0.0,0.0,-0.0,73.25,10.5,34.0
42100,-0.03,0.11,9.6,0.0,0.0,-0.0,73.25,10.5,34.0
42101,-0.03,0.11,9.6,0.0,0.0,-0.0,73.25,10.5,34.0
42107,-0.06,-0.04,9.56,0.0,0.0,-0.0,73.25,10.5,34.0
42109,-0.06,-0.04,9.56,0.0,0.0,-0.0,73.25,10.5,34.0
42111,-0.06,-0.04,9.56,0.0,0.0,-0.0,73.25,10.5,34.0
42114,-0.06,-0.04,9.56,0.0,0.0,-0.0,73.25,10.5,34.0
42119,-0.07,-0.06,9.6,0.0,-0.0,0.01,73.25,10.5,34.0
42120,-0.07,-0.06,9.6,0.0,-0.0,0.01,73.25,10.5,34.0
42122,-0.07,-0.06,9.6,0.0,-0.0,0.01,73.25,10.5,34.0
42124,-0.07,-0.06,9.6,0.0,-0.0,0.01,73.25,10.5,34.0
42126,-0.07,-0.06,9.6,-0.0,0.01,0.0,73.69,9.69,34.0
42129,0.0,-0.1,9.61,-0.0,0.01,0.0,73.69,9.69,34.0
42130,0.0,-0.1,9.61,-0.0,0.01,0.0,73.69,9.69,34.0
42132,0.0,-0.1,9.61,-0.0,0.01,0.0,73.69,9.69,34.0
42138,-0.04,-0.14,9.56,-0.01,0.0,0.0,73.69,9.69,34.0
42140,-0.04,-0.14,9.56,-0.01,0.0,0.0,73.69,9.69,34.0
42142,-0.04,-0.14,9.56,-0.01,0.0,0.0,73.69,9.69,34.0
42148,-0.09,-0.14,9.61,0.0,0.0,0.0,73.69,9.69,34.0
42150,-0.09,-0.14,9.61,0.0,0.0,0.0,73.69,9.69,34.0
42151,-0.09,-0.14,9.61,0.0,0.0,0.0,73.69,9.69,34.0
42158,-0.07,-0.11,9.58,-0.0,0.0,0.0,73.69,9.69,34.0
42160,-0.07,-0.11,9.58,-0.0,0.0,0.0,73.69,9.69,34.0
42161,-0.07,-0.11,9.58,-0.0,0.0,0.0,73.69,9.69,34.0
42167,-0.06,-0.07,9.56,0.0,0.0,0.0,73.69,9.69,34.0
42169,-0.06,-0.07,9.56,0.0,0.0,0.0,73.69,9.69,34.0
42171,-0.06,-0.07,9.56,0.0,0.0,0.0,73.69,9.69,34.0
42173,-0.06,-0.07,9.56,0.0,0.0,0.0,73.69,9.69,34.0
42174,-0.06,-0.07,9.56,0.0,0.0,0.0,73.69,9.69,34.0
42176,-0.06,-0.07,9.56,0.0,-0.01,0.0,73.69,9.69,33.56
